depth_m,speed_mps,cweight_kg,whp_barg,temp_degC,pressure_bara,frequency_hz,datetime,timestamp
874.2344,-1.4838257,155.0714,-0.39053857,72.81519,45.963177,15.213897,2020-12-11 16:04:07.392,1607655847.392
873.8628,-1.4840182,156.26227,-0.390926,72.83088,45.928703,15.691889,2020-12-11 16:04:07.392,1607655847.392
873.4913,-1.4840962,155.56801,-0.39218664,72.849174,45.890995,15.144953,2020-12-11 16:04:08.256,1607655848.256
873.1197,-1.4840962,154.91188,-0.39189458,72.87531,45.85652,15.842899,2020-12-11 16:04:08.256,1607655848.256
872.7518,-1.4820704,154.72989,-0.39053857,72.893616,45.82205,16.158419,2020-12-11 16:04:08.256,1607655848.256
872.3037,-1.482271,154.85796,-0.39150715,72.906685,45.784344,15.922456,2020-12-11 16:04:09.120,1607655849.12
871.83014,-1.4828796,155.09615,-0.39082915,72.953735,45.74879,15.581667,2020-12-11 16:04:09.120,1607655849.12
871.6371,-1.482605,155.57472,-0.3917992,72.95897,45.714317,16.17217,2020-12-11 16:04:09.120,1607655849.12
871.26917,-1.4817646,155.14557,-0.3922835,72.99033,45.67877,15.353676,2020-12-11 16:04:09.120,1607655849.12
870.8976,-1.4818544,154.73889,-0.39247572,73.01648,45.643215,16.144743,2020-12-11 16:04:09.984,1607655849.984
870.5114,-1.4829102,154.34567,-0.39015263,73.047844,45.606586,16.053797,2020-12-11 16:04:09.984,1607655849.984
870.1544,-1.4821625,153.97041,-0.38957,73.06615,45.572113,15.789531,2020-12-11 16:04:09.984,1607655849.984
869.7683,-1.4837424,155.70505,-0.38937628,73.07399,45.536564,15.680442,2020-12-11 16:04:10.848,1607655850.848
869.3421,-1.4821937,155.46237,-0.390926,73.102745,45.499935,15.39285,2020-12-11 16:04:10.848,1607655850.848
868.86487,-1.4828218,153.81314,-0.39218664,73.12889,45.46546,16.056417,2020-12-11 16:04:10.848,1607655850.848
868.6718,-1.4826254,153.9592,-0.39208978,73.136734,45.428833,15.471996,2020-12-11 16:04:10.848,1607655850.848
868.30023,-1.4838461,154.85571,-0.39208978,73.16287,45.395435,15.233328,2020-12-11 16:04:11.712,1607655851.712
867.9323,-1.4829102,155.17703,-0.3922835,73.170715,45.358807,15.418814,2020-12-11 16:04:11.712,1607655851.712
867.5608,-1.4821625,154.23334,-0.39073378,73.1864,45.321102,15.525147,2020-12-11 16:04:11.712,1607655851.712
867.1929,-1.4814047,154.24004,-0.39053857,73.21516,45.287704,15.985628,2020-12-11 16:04:12.576,1607655852.576
866.7302,-1.4833139,154.62431,-0.3916055,73.24392,45.251076,15.70318,2020-12-11 16:04:12.576,1607655852.576
866.27124,-1.4828023,154.93887,-0.39150715,73.283134,45.216602,15.414055,2020-12-11 16:04:12.576,1607655852.576
866.0636,-1.482605,155.0377,-0.39102286,73.31189,45.181053,15.880745,2020-12-11 16:04:12.576,1607655852.576
865.6957,-1.481309,154.01088,-0.39150715,73.36418,45.144424,15.97499,2020-12-11 16:04:13.440,1607655853.44
865.3387,-1.4817646,153.30759,-0.39208978,73.39817,45.10887,16.118742,2020-12-11 16:04:13.440,1607655853.44
864.9671,-1.4818544,153.81091,-0.3922835,73.45046,45.073322,15.453805,2020-12-11 16:04:13.440,1607655853.44
